Row Labels,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT,Grand Total
ParameterJacobianWrapper,15,,2,,,17
ParetoDistribution,49,,,6,1,56
PascalDistribution,42,,1,1,,44
PearsonsCorrelation,61,,,4,,65
Percentile,156,,4,25,,185
PiecewiseBicubicSplineInterpolatingFunction,48,,13,3,,64
PiecewiseBicubicSplineInterpolator,8,,,2,,10
Plane,104,,8,12,,124
PointValuePair,12,,,2,,14
PointVectorValuePair,20,,,4,,24
PoissonDistribution,99,,3,32,2,136
PollardRho,,,43,,,43
PolygonsSet,150,,32,55,6,243
PolyhedronsSet,40,,30,6,,76
PolynomialCurveFitter,7,,1,,,8
PolynomialFitter,2,,4,,,6
PolynomialFunction,88,,24,12,,124
PolynomialFunctionLagrangeForm,83,,10,6,,99
PolynomialFunctionNewtonForm,41,,4,6,,51
PolynomialSplineFunction,43,,12,,,55
PolynomialsUtils,95,,1,9,,105
Pow,1,,,,,1
PowellOptimizer,72,,,61,,133
Power,2,,1,,,3
Precision,106,,17,22,,145
PreconditionedIterativeLinearSolver,8,,2,4,,14
Primes,33,,,1,,34
Product,21,,1,3,,25
ProperBigFractionFormat,26,,6,8,,40
ProperFractionFormat,26,,6,7,,39
PropertiesComputer,20,,2,3,,25
PSquarePercentile,161,,,22,,183
QRDecomposition,179,,,4,,183
QuasiSigmoidDecayFunction,10,,,1,,11
Quaternion,118,,7,7,,132
RandomAdaptor,9,,4,2,,15
RandomDataGenerator,80,,26,26,9,141
RandomDataImpl,,,31,1,,32
RandomGeneratorFactory,10,,7,2,1,20
RandomKey,40,,2,1,3,46
RandomKeyMutation,2,,,,,2
RandomPivotingStrategy,,,5,,,5
RealLinearOperator,,,1,,,1
RealMatrixFormat,47,,11,5,,63
RealVector,200,,2,30,1,233
RealVectorFormat,28,,4,4,1,37
RectangularCholeskyDecomposition,46,,,2,,48
RegionFactory,43,,4,14,,61
RegressionResults,66,,25,15,,106
Relationship,4,,2,2,,8
ResizableDoubleArray,109,,6,32,,147
RiddersSolver,21,,4,8,,33
Rint,,,,1,,1
RombergIntegrator,21,,2,6,,29
RootsOfUnity,30,,2,5,,37
Rotation,565,,,61,,626
RotationOrder,4,,,,,4
RRQRDecomposition,26,,,12,,38
RungeKuttaIntegrator,97,,1,11,1,110
RungeKuttaStepInterpolator,34,,,5,,39
S1Point,14,,1,3,,18
S2Point,25,,1,8,,34
SaddlePointExpansion,51,,6,14,5,76
SchurTransformer,248,,,38,2,288
SearchInterval,9,,,2,,11
SecantSolver,16,,1,3,,20
SecondMoment,12,,,2,,14
Segment,24,,1,2,,27
SemiVariance,21,,10,1,,32
Sigmoid,46,,1,1,,48
Signum,,,,1,,1
SimpleBounds,7,,,,,7
SimpleCurveFitter,4,,2,,,6
SimplePointChecker,30,,,4,,34
SimpleRegression,218,,49,24,,291
SimpleUnivariateValueChecker,22,,,4,,26
SimpleValueChecker,22,,,4,,26
SimpleVectorValueChecker,30,,,4,,34
SimplexOptimizer,50,,,2,,52
SimplexSolver,95,,1,31,11,138
SimplexTableau,354,,26,21,10,411
SimpsonIntegrator,13,,6,5,,24
Sin,3,,,,,3
Sinc,77,,1,21,,99
SingularValueDecomposition,369,,2,66,11,448
Sinh,,,2,1,,3
Skewness,48,,1,10,,59
SmallPrimes,31,,2,13,2,48
SmoothingPolynomialBicubicSplineInterpolator,43,,,4,,47
SobolSequenceGenerator,71,,1,16,3,91
SolutionCallback,4,,,,,4
SparseFieldMatrix,8,,13,5,,26
SparseFieldVector,120,,66,42,,228
SparseGradient,240,,5,23,,268
SpearmansCorrelation,38,,2,1,,41
Sphere1D,3,,,,,3
Sphere2D,3,,1,,,4
SphereGenerator,15,,,3,,18
SphericalCoordinates,204,,,,,204
SphericalPolygonsSet,78,,5,14,4,101
SplineInterpolator,67,,,1,,68
Sqrt,2,,1,,,3
StableRandomGenerator,21,,23,19,,63
StandardDeviation,9,,4,3,,16
StatisticalSummaryValues,19,,,12,,31
StatUtils,68,,8,7,,83
StepFunction,12,,,1,,13
StepNormalizer,23,,1,7,8,39
StepNormalizerBounds,2,,,,,2
StorelessBivariateCovariance,32,,3,1,,36
StorelessCovariance,36,,9,3,,48
SubCircle,14,,,4,,18
SubHyperplane,2,,,,,2
SubLimitAngle,7,,,4,,11
SubLine,41,,,5,,46
SubOrientedPoint,6,,2,3,,11
SubPlane,14,,,5,,19
Subtract,,,2,,,2
Sum,21,,2,3,,26
SummaryStatistics,63,,18,36,,117
SumOfClusterVariances,6,,,,,6
SumOfLogs,13,,1,3,,17
SumOfSquares,15,,1,3,,19
SymmetricGaussIntegrator,18,,,2,,20
SymmLQ,158,,10,46,,214
SynchronizedDescriptiveStatistics,13,,1,2,,16
SynchronizedMultivariateSummaryStatistics,30,,,,,30
SynchronizedRandomGenerator,8,,3,,,11
SynchronizedSummaryStatistics,21,,16,1,,38
Tan,,,2,1,,3
Tanh,,,2,1,,3
Target,2,,,,,2
TDistribution,45,,,5,1,51
TestUtils,39,,11,,,50
ThirdMoment,19,,,2,,21
ThreeEighthesStepInterpolator,77,,,10,,87
TooManyEvaluationsException,,,,1,,1
TooManyIterationsException,,,,1,,1
TournamentSelection,7,,2,1,,10
Transformer,8,,,1,,9
TransformerMap,16,,9,3,,28
TransformUtils,20,,3,1,,24
TrapezoidIntegrator,31,,2,5,,38
TriangularDistribution,106,,3,11,,120
TricubicInterpolatingFunction,188,,22,1,,211
TricubicInterpolator,56,,17,6,,79
TricubicSplineInterpolatingFunction,118,,5,8,,131
TricubicSplineInterpolator,52,,,35,,87
TriDiagonalTransformer,120,,1,3,,124
TTest,100,,3,24,,127
Ulp,,,,1,,1
UncorrelatedRandomVectorGenerator,8,,,,,8
UniformCrossover,14,,1,,,15
UniformIntegerDistribution,39,,1,3,3,46
UniformRandomGenerator,4,,,,,4
UniformRealDistribution,41,,1,3,,45
UnitSphereRandomVectorGenerator,11,,,,,11
UnivariateMultiStartOptimizer,26,,3,4,,33
UnivariateObjectiveFunction,1,,,,,1
UnivariateOptimizer,14,,,,,14
UnivariatePeriodicInterpolator,18,,,3,,21
UnivariatePointValuePair,4,,,,,4
UnivariateSolverUtils,50,,16,27,,93
UnknownParameterException,,,1,,,1
ValueServer,32,,1,6,,39
Variance,67,,7,18,,92
Vector1D,67,,3,4,,74
Vector1DFormat,8,,,,,8
Vector2D,41,,91,14,,146
Vector2DFormat,7,,1,,,8
Vector3D,154,,,15,,169
Vector3DFormat,8,,,,,8
VectorFormat,25,,6,2,,33
VectorialCovariance,39,,18,6,,63
VectorialMean,17,,6,1,,24
Vertex,7,,1,2,,10
WeibullDistribution,57,,4,5,,66
Weight,2,,2,,,4
WeightedObservedPoint,6,,,,,6
WeightedObservedPoints,3,,,,,3
Well1024a,20,,,,,20
Well19937a,26,,,,,26
Well19937c,32,,,,,32
Well44497a,29,,,,,29
Well44497b,35,,,,,35
Well512a,22,,,,,22
WelzlEncloser,20,,,5,4,29
WilcoxonSignedRankTest,60,,,7,2,69
WilsonScoreInterval,27,,,,,27
ZipfDistribution,50,,1,3,1,55
Grand Total,36668,5,3602,6246,548,47069
