CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_Complexity,,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT
Precision,33,98,131,0.748091603,3,116,119,0.974789916,24,67,91,Precision,106,0,17,22,0
IterationEvent,0,0,0,100,0,4,4,1,0,2,2,IterationEvent,1,0,0,0,0
Combinations,1,5,6,0.833333333,1,15,16,0.9375,1,8,9,Combinations,63,0,0,4,0
KthSelector,1,37,38,0.973684211,0,47,47,1,1,23,24,KthSelector,31,0,0,13,7
FastMath.ExpIntTable,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
CombinatoricsUtils,2,96,98,0.979591837,1,121,122,0.991803279,2,57,59,CombinatoricsUtils,130,0,2,38,4
FastMathCalc,62,0,62,0,275,0,275,0,48,0,48,FastMathCalc,0,0,252,0,0
MathArrays,62,225,287,0.783972125,68,414,482,0.858921162,42,155,197,MathArrays,515,0,82,51,1
MathArrays.new Comparator() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
MathArrays.new Comparator() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
OpenIntToDoubleHashMap.Iterator,4,12,16,0.75,4,24,28,0.857142857,4,9,13,#N/A,0,0,0,0,0
CompositeFormat,1,27,28,0.964285714,0,56,56,1,1,21,22,CompositeFormat,36,0,0,5,0
OpenIntToFieldHashMap.Iterator,4,12,16,0.75,5,23,28,0.821428571,4,9,13,#N/A,0,0,0,0,0
FastMathLiteralArrays,0,0,0,100,0,10,10,1,0,6,6,FastMathLiteralArrays,5,0,0,0,0
Incrementor.new Incrementor.MaxCountExceededCallback() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
MultidimensionalCounter,2,22,24,0.916666667,4,45,49,0.918367347,2,18,20,MultidimensionalCounter,55,0,6,2,1
Combinations.LexicographicComparator,0,14,14,1,0,26,26,1,0,10,10,#N/A,0,0,0,0,0
Combinations.IterationOrder,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
Combinations.SingletonIterator,1,1,2,0.5,2,8,10,0.8,2,3,5,#N/A,0,0,0,0,0
ResizableDoubleArray.ExpansionMode,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
ContinuedFraction,7,9,16,0.5625,11,31,42,0.738095238,9,4,13,ContinuedFraction,15,0,2,3,4
Incrementor,1,7,8,0.875,2,22,24,0.916666667,1,13,14,Incrementor,14,0,0,0,0
MathArrays.OrderDirection,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
ArithmeticUtils,10,140,150,0.933333333,20,200,220,0.909090909,15,87,102,ArithmeticUtils,145,0,17,24,26
FastMath.ExpFracTable,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
RandomPivotingStrategy,0,0,0,100,2,3,5,0.6,1,1,2,RandomPivotingStrategy,0,0,5,0,0
IterationManager,0,8,8,1,7,27,34,0.794117647,3,13,16,IterationManager,9,0,1,1,1
MathArrays.Position,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
BigRealField,0,0,0,100,1,4,5,0.8,1,4,5,BigRealField,4,0,1,0,0
OpenIntToFieldHashMap,0,68,68,1,5,155,160,0.96875,2,57,59,OpenIntToFieldHashMap,97,0,1,28,8
TransformerMap,8,12,20,0.6,10,31,41,0.756097561,8,14,22,TransformerMap,16,0,9,3,0
Pair,5,15,20,0.75,3,21,24,0.875,6,14,20,Pair,18,0,1,5,0
CentralPivotingStrategy,0,0,0,100,2,1,3,0.333333333,1,1,2,CentralPivotingStrategy,0,0,5,0,0
BigRealField.LazyHolder,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
DummyLocalizable,0,0,0,100,6,0,6,0,4,0,4,DummyLocalizable,0,0,3,0,0
ArgUtils,1,7,8,0.875,0,8,8,1,1,4,5,ArgUtils,9,0,0,0,0
LocalizedFormats,1,1,2,0.5,1,334,335,0.997014925,1,4,5,LocalizedFormats,3,0,0,1,0
ExceptionContext,0,20,20,1,1,79,80,0.9875,1,27,28,ExceptionContext,46,0,1,0,0
FuzzyKMeansClusterer,14,42,56,0.75,21,104,125,0.832,13,33,46,FuzzyKMeansClusterer,52,0,15,13,11
MultiKMeansPlusPlusClusterer,0,4,4,1,3,16,19,0.842105263,3,5,8,MultiKMeansPlusPlusClusterer,3,0,3,1,1
KMeansPlusPlusClusterer.EmptyClusterStrategy,0,0,0,100,0,5,5,1,0,1,1,#N/A,0,0,0,0,0
DoublePoint,1,3,4,0.75,2,12,14,0.857142857,2,6,8,DoublePoint,5,0,2,2,0
CentroidCluster,0,0,0,100,0,4,4,1,0,2,2,CentroidCluster,1,0,0,0,0
DBSCANClusterer.PointStatus,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
Clusterer,0,0,0,100,0,5,5,1,0,3,3,Clusterer,2,0,0,0,0
DBSCANClusterer,0,28,28,1,0,55,55,1,0,22,22,DBSCANClusterer,54,0,0,6,0
Cluster,0,0,0,100,0,6,6,1,0,3,3,Cluster,3,0,0,0,0
KMeansPlusPlusClusterer,38,50,88,0.568181818,65,104,169,0.615384615,31,31,62,KMeansPlusPlusClusterer,97,0,35,58,3
LegendreHighPrecisionRuleFactory,0,24,24,1,0,98,98,1,0,15,15,LegendreHighPrecisionRuleFactory,36,0,0,0,2
SymmetricGaussIntegrator,0,6,6,1,0,25,25,1,0,6,6,SymmetricGaussIntegrator,18,0,0,2,0
HermiteRuleFactory,0,24,24,1,0,69,69,1,0,14,14,HermiteRuleFactory,0,0,0,70,1
BaseRuleFactory,2,8,10,0.8,4,28,32,0.875,2,8,10,BaseRuleFactory,13,0,0,0,0
GaussIntegratorFactory,0,2,2,1,0,18,18,1,0,9,9,GaussIntegratorFactory,16,0,0,0,0
LegendreRuleFactory,0,24,24,1,0,61,61,1,0,14,14,LegendreRuleFactory,73,0,0,0,0
GaussIntegrator,1,3,4,0.75,1,21,22,0.954545455,1,7,8,GaussIntegrator,13,0,0,0,0
Kurtosis,3,13,16,0.8125,3,49,52,0.942307692,4,14,18,Kurtosis,57,0,1,6,0
FourthMoment,0,2,2,1,3,26,29,0.896551724,1,7,8,FourthMoment,24,0,1,2,0
StandardDeviation,0,0,0,100,9,28,37,0.756756757,5,12,17,StandardDeviation,9,0,4,3,0
VectorialCovariance,9,19,28,0.678571429,13,39,52,0.75,9,12,21,VectorialCovariance,39,0,18,6,0
ThirdMoment,0,2,2,1,0,29,29,1,0,8,8,ThirdMoment,19,0,0,2,0
SemiVariance.Direction,0,0,0,100,0,7,7,1,0,3,3,#N/A,0,0,0,0,0
FirstMoment,0,2,2,1,3,32,35,0.914285714,1,8,9,FirstMoment,9,0,1,3,0
SecondMoment,0,2,2,1,3,20,23,0.869565217,1,7,8,SecondMoment,12,0,0,2,0
GeometricMean,1,3,4,0.75,6,29,35,0.828571429,3,12,15,GeometricMean,13,0,2,5,0
VectorialMean,4,12,16,0.75,7,20,27,0.740740741,5,9,14,VectorialMean,17,0,6,1,0
Mean,3,9,12,0.75,4,43,47,0.914893617,4,14,18,Mean,27,0,2,9,0
SemiVariance,0,12,12,1,23,32,55,0.581818182,9,14,23,SemiVariance,21,0,10,1,0
Skewness,2,14,16,0.875,3,52,55,0.945454545,3,15,18,Skewness,48,0,1,10,0
Variance,14,32,46,0.695652174,10,101,111,0.90990991,17,27,44,Variance,67,0,7,18,0
Atan,0,0,0,100,2,2,4,0.5,2,2,4,Atan,0,0,2,1,0
Atanh,0,0,0,100,4,0,4,0,4,0,4,Atanh,0,0,3,0,0
Cosh,0,0,0,100,1,3,4,0.75,1,3,4,Cosh,1,0,1,1,0
Atan2,0,0,0,100,2,0,2,0,2,0,2,Atan2,0,0,1,0,0
Divide,0,0,0,100,0,2,2,1,0,2,2,Divide,2,0,0,0,0
Tan,0,0,0,100,2,2,4,0.5,2,2,4,Tan,0,0,2,1,0
Floor,0,0,0,100,0,2,2,1,0,2,2,Floor,0,0,0,1,0
Expm1,0,0,0,100,2,2,4,0.5,2,2,4,Expm1,1,0,2,0,0
Logit.Parametric,0,4,4,1,4,8,12,0.666666667,1,5,6,#N/A,0,0,0,0,0
Abs,0,0,0,100,0,2,2,1,0,2,2,Abs,0,0,0,1,0
Constant,0,0,0,100,1,5,6,0.833333333,1,3,4,Constant,2,0,1,0,0
Ceil,0,0,0,100,0,2,2,1,0,2,2,Ceil,0,0,0,1,0
Add,0,0,0,100,0,2,2,1,0,2,2,Add,2,0,0,0,0
Logit,0,16,16,1,3,27,30,0.9,2,12,14,Logit,43,0,1,5,0
Logistic,0,2,2,1,1,13,14,0.928571429,1,5,6,Logistic,36,0,1,5,0
Acos,0,0,0,100,2,2,4,0.5,2,2,4,Acos,0,0,2,1,0
Sigmoid.Parametric,0,4,4,1,0,11,11,1,0,6,6,#N/A,0,0,0,0,0
Max,0,0,0,100,0,2,2,1,0,2,2,Max,16,0,1,5,0
Rint,0,0,0,100,0,2,2,1,0,2,2,Rint,0,0,0,1,0
Asinh,0,0,0,100,4,0,4,0,4,0,4,Asinh,0,0,3,0,0
HarmonicOscillator,0,4,4,1,1,17,18,0.944444444,1,6,7,HarmonicOscillator,35,0,1,0,0
Acosh,0,0,0,100,4,0,4,0,4,0,4,Acosh,0,0,3,0,0
Gaussian,0,14,14,1,1,37,38,0.973684211,1,13,14,Gaussian,66,0,1,4,0
StepFunction,0,14,14,1,0,19,19,1,0,9,9,StepFunction,12,0,0,1,0
Min,0,0,0,100,0,2,2,1,0,2,2,Min,16,0,1,5,0
Sigmoid,0,8,8,1,1,28,29,0.965517241,1,9,10,Sigmoid,46,0,1,1,0
HarmonicOscillator.Parametric,0,4,4,1,0,17,17,1,0,6,6,#N/A,0,0,0,0,0
Power,0,0,0,100,1,5,6,0.833333333,1,3,4,Power,2,0,1,0,0
Identity,0,0,0,100,1,3,4,0.75,1,3,4,Identity,2,0,1,0,0
Signum,0,0,0,100,0,2,2,1,0,2,2,Signum,0,0,0,1,0
Multiply,0,0,0,100,0,2,2,1,0,2,2,Multiply,2,0,0,0,0
Minus,0,0,0,100,1,3,4,0.75,1,3,4,Minus,3,0,1,0,0
Sin,0,0,0,100,0,4,4,1,0,4,4,Sin,3,0,0,0,0
Log10,0,0,0,100,2,2,4,0.5,2,2,4,Log10,0,0,2,1,0
Asin,0,0,0,100,2,2,4,0.5,2,2,4,Asin,0,0,2,1,0
Logistic.Parametric,0,6,6,1,2,25,27,0.925925926,1,6,7,#N/A,0,0,0,0,0
Sqrt,0,0,0,100,1,3,4,0.75,1,3,4,Sqrt,2,0,1,0,0
Ulp,0,0,0,100,0,2,2,1,0,2,2,Ulp,0,0,0,1,0
Tanh,0,0,0,100,2,2,4,0.5,2,2,4,Tanh,0,0,2,1,0
Log1p,0,0,0,100,2,2,4,0.5,2,2,4,Log1p,0,0,2,1,0
Subtract,0,0,0,100,2,0,2,0,2,0,2,Subtract,0,0,2,0,0
Exp,0,0,0,100,2,2,4,0.5,2,2,4,Exp,0,0,2,1,0
Gaussian.Parametric,0,6,6,1,0,21,21,1,0,7,7,#N/A,0,0,0,0,0
Cos,0,0,0,100,1,3,4,0.75,1,3,4,Cos,2,0,1,0,0
Log,0,0,0,100,1,3,4,0.75,1,3,4,Log,2,0,1,0,0
Sinc,2,24,26,0.923076923,1,50,51,0.980392157,3,15,18,Sinc,77,0,1,21,0
Sinh,0,0,0,100,2,2,4,0.5,2,2,4,Sinh,0,0,2,1,0
Pow,0,0,0,100,0,2,2,1,0,2,2,Pow,1,0,0,0,0
Inverse,0,0,0,100,1,3,4,0.75,1,3,4,Inverse,3,0,1,0,0
Cbrt,0,0,0,100,2,2,4,0.5,2,2,4,Cbrt,0,0,2,1,0
PSquarePercentile.Markers,0,38,38,1,0,90,90,1,0,35,35,#N/A,0,0,0,0,0
Percentile,3,42,45,0.933333333,10,106,116,0.913793103,4,47,51,Percentile,156,0,4,25,0
PSquarePercentile.FixedCapacityList,3,5,8,0.625,0,7,7,1,3,4,7,#N/A,0,0,0,0,0
PSquarePercentile,0,48,48,1,0,77,77,1,0,39,39,PSquarePercentile,161,0,0,22,0
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,5,5,1,0,4,4,#N/A,0,0,0,0,0
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,5,5,1,0,4,4,#N/A,0,0,0,0,0
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,5,5,1,0,4,4,#N/A,0,0,0,0,0
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,5,5,1,0,4,4,#N/A,0,0,0,0,0
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,5,5,1,0,4,4,#N/A,0,0,0,0,0
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,5,5,1,0,4,4,#N/A,0,0,0,0,0
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,5,5,1,0,4,4,#N/A,0,0,0,0,0
Percentile.EstimationType.new Percentile.EstimationType() {...},0,2,2,1,0,4,4,1,0,3,3,#N/A,0,0,0,0,0
Percentile.EstimationType.new Percentile.EstimationType() {...},0,4,4,1,0,10,10,1,0,5,5,#N/A,0,0,0,0,0
Percentile.EstimationType.new Percentile.EstimationType() {...},0,2,2,1,0,4,4,1,0,4,4,#N/A,0,0,0,0,0
Median,0,0,0,100,3,6,9,0.666666667,2,4,6,Median,2,0,1,0,0
Percentile.EstimationType,0,8,8,1,0,31,31,1,0,10,10,#N/A,0,0,0,0,0
PSquarePercentile.Marker,7,43,50,0.86,1,71,72,0.986111111,7,33,40,#N/A,0,0,0,0,0
Min,0,12,12,1,3,29,32,0.90625,1,14,15,Min,16,0,1,5,0
Max,0,12,12,1,3,29,32,0.90625,1,14,15,Max,16,0,1,5,0
DfpField,8,38,46,0.826086957,12,155,167,0.928143713,19,44,63,DfpField,47,0,11,31,2
Dfp,81,697,778,0.895886889,82,1016,1098,0.925318761,83,426,509,Dfp,1095,0,48,6,7
DfpDec,12,100,112,0.892857143,25,109,134,0.813432836,22,56,78,DfpDec,112,0,13,10,1
DfpField.RoundingMode,0,0,0,100,0,9,9,1,0,1,1,#N/A,0,0,0,0,0
DfpMath,40,154,194,0.793814433,34,341,375,0.909333333,29,88,117,DfpMath,144,0,37,15,11
BracketingNthOrderBrentSolverDFP,7,59,66,0.893939394,13,116,129,0.899224806,9,36,45,BracketingNthOrderBrentSolverDFP,75,0,13,18,1
EvaluationRmsChecker,0,4,4,1,2,8,10,0.8,1,4,5,EvaluationRmsChecker,3,0,0,0,0
LevenbergMarquardtOptimizer.InternalData,0,0,0,100,0,8,8,1,0,1,1,#N/A,0,0,0,0,0
OptimumImpl,0,0,0,100,2,12,14,0.857142857,2,8,10,OptimumImpl,7,0,2,0,0
LeastSquaresAdapter,0,0,0,100,0,10,10,1,0,8,8,LeastSquaresAdapter,7,0,0,0,0
DenseWeightedEvaluation,0,0,0,100,0,7,7,1,0,4,4,DenseWeightedEvaluation,3,0,0,0,0
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100,0,4,4,1,0,2,2,#N/A,0,0,0,0,0
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100,0,10,10,1,0,2,2,#N/A,0,0,0,0,0
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100,0,6,6,1,0,2,2,#N/A,0,0,0,0,0
GaussNewtonOptimizer.Decomposition.new GaussNewtonOptimizer.Decomposition() {...},0,0,0,100,0,10,10,1,0,2,2,#N/A,0,0,0,0,0
LevenbergMarquardtOptimizer,16,186,202,0.920792079,17,361,378,0.955026455,20,99,119,LevenbergMarquardtOptimizer,1041,0,13,138,2
LeastSquaresFactory.LocalValueAndJacobianFunction,0,0,0,100,0,9,9,1,0,4,4,#N/A,0,0,0,0,0
LeastSquaresBuilder,0,0,0,100,2,22,24,0.916666667,1,14,15,LeastSquaresBuilder,13,0,1,0,0
GaussNewtonOptimizer,1,17,18,0.944444444,6,41,47,0.872340426,5,11,16,GaussNewtonOptimizer,100,0,3,2,2
AbstractEvaluation,0,2,2,1,0,18,18,1,0,6,6,AbstractEvaluation,10,0,0,0,0
LeastSquaresFactory.LocalLeastSquaresProblem.UnweightedEvaluation,0,0,0,100,0,8,8,1,0,4,4,#N/A,0,0,0,0,0
LeastSquaresFactory.LocalLeastSquaresProblem.LazyUnweightedEvaluation,0,0,0,100,3,5,8,0.625,3,1,4,#N/A,0,0,0,0,0
LeastSquaresFactory.new LeastSquaresAdapter() {...},0,0,0,100,3,0,3,0,2,0,2,#N/A,0,0,0,0,0
LeastSquaresFactory.new ConvergenceChecker() {...},0,0,0,100,0,6,6,1,0,2,2,#N/A,0,0,0,0,0
LeastSquaresFactory,0,6,6,1,5,16,21,0.761904762,5,8,13,LeastSquaresFactory,30,1,8,2,0
LeastSquaresFactory.new LeastSquaresAdapter() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
GaussNewtonOptimizer.Decomposition,0,0,0,100,0,5,5,1,0,1,1,#N/A,0,0,0,0,0
LeastSquaresFactory.LocalLeastSquaresProblem,1,9,10,0.9,0,21,21,1,1,9,10,#N/A,0,0,0,0,0
MultistepIntegrator.InitializationCompletedMarkerException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
ExpandableStatefulODE.SecondaryComponent,0,0,0,100,0,7,7,1,0,1,1,#N/A,0,0,0,0,0
ExpandableStatefulODE,4,14,18,0.777777778,7,58,65,0.892307692,6,20,26,ExpandableStatefulODE,36,0,4,0,0
JacobianMatrices,9,25,34,0.735294118,9,68,77,0.883116883,9,19,28,JacobianMatrices,92,0,4,14,0
UnknownParameterException,0,0,0,100,4,0,4,0,2,0,2,UnknownParameterException,0,0,1,0,0
MultistepIntegrator.NordsieckInitializer,2,8,10,0.8,6,36,42,0.857142857,2,6,8,#N/A,0,0,0,0,0
AbstractIntegrator,2,60,62,0.967741935,4,135,139,0.971223022,4,51,55,AbstractIntegrator,80,0,1,7,5
JacobianMatrices.MismatchedEquations,0,0,0,100,2,0,2,0,1,0,1,#N/A,0,0,0,0,0
ContinuousOutputModel,3,45,48,0.9375,3,110,113,0.973451327,5,32,37,ContinuousOutputModel,45,0,2,58,4
FirstOrderConverter,0,0,0,100,0,14,14,1,0,3,3,FirstOrderConverter,7,0,0,0,0
ParameterConfiguration,0,0,0,100,0,8,8,1,0,4,4,ParameterConfiguration,1,0,0,1,0
AbstractParameterizable,2,6,8,0.75,7,11,18,0.611111111,4,5,9,AbstractParameterizable,7,0,2,0,0
ParameterizedWrapper,2,0,2,0,12,0,12,0,8,0,8,ParameterizedWrapper,0,0,6,0,0
MultistepIntegrator,2,2,4,0.5,11,32,43,0.744186047,7,7,14,MultistepIntegrator,28,0,12,13,4
AbstractIntegrator.new Comparator() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
JacobianMatrices.JacobiansSecondaryEquations,5,21,26,0.807692308,1,39,40,0.975,5,11,16,#N/A,0,0,0,0,0
MultistepIntegrator.new FirstOrderDifferentialEquations() {...},0,0,0,100,4,0,4,0,3,0,3,#N/A,0,0,0,0,0
JacobianMatrices.MainStateJacobianWrapper,1,5,6,0.833333333,1,18,19,0.947368421,1,6,7,#N/A,0,0,0,0,0
EquationsMapper,2,2,4,0.5,2,12,14,0.857142857,2,5,7,EquationsMapper,6,0,0,0,0
ParameterJacobianWrapper,2,6,8,0.75,2,22,24,0.916666667,3,5,8,ParameterJacobianWrapper,15,0,2,0,0
FastFourierTransformer.MultiDimensionalComplexMatrix,8,22,30,0.733333333,8,53,61,0.868852459,6,16,22,#N/A,0,0,0,0,0
FastFourierTransformer,9,54,63,0.857142857,4,169,173,0.976878613,9,33,42,FastFourierTransformer,203,0,6,3,1
TransformUtils,4,10,14,0.714285714,7,24,31,0.774193548,4,9,13,TransformUtils,20,0,3,1,0
FastCosineTransformer,0,14,14,1,0,44,44,1,0,11,11,FastCosineTransformer,57,0,0,1,0
DstNormalization,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
TransformType,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
DctNormalization,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
DftNormalization,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
FastHadamardTransformer,1,17,18,0.944444444,3,39,42,0.928571429,2,13,15,FastHadamardTransformer,43,0,1,0,2
FastSineTransformer,0,14,14,1,0,40,40,1,0,11,11,FastSineTransformer,42,0,0,1,0
UnivariatePeriodicInterpolator.new UnivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
TricubicSplineInterpolatingFunction,10,70,80,0.875,6,97,103,0.941747573,10,35,45,TricubicSplineInterpolatingFunction,118,0,5,8,0
MicrosphereInterpolatingFunction.MicrosphereSurfaceElement,0,2,2,1,0,13,13,1,0,7,7,#N/A,0,0,0,0,0
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100,0,6,6,1,0,2,2,#N/A,0,0,0,0,0
LoessInterpolator,4,48,52,0.923076923,6,110,116,0.948275862,6,30,36,LoessInterpolator,103,0,2,13,1
BicubicSplineFunction.new BivariateFunction() {...},0,0,0,100,5,1,6,0.166666667,1,1,2,#N/A,0,0,0,0,0
